name,price
包邮 Python程序设计与算法基础教程 21世纪高等学校计算机专业实用规划教材,48.50
Python数据可视化编程实战 第2版 python高级程序设计 python编程实战指,51.70
【R】Python和NLTK自然语言处理 NLP实践教程 机器学习人工智能深度学习网络数据采集处理书,72.00
正版 量化交易之路 用Python做股票量化分析 阿布 量化交易入门书籍 python机器,55.40
现货包邮 Python程序设计基础 第2版 第二版 董付国+Python程序设计实验指导书 2本,69.80
疯狂Python讲义 李刚 9787121351976,68.44
"Python金融大数据分析  （德）希尔皮斯科,姚军",62.40
Python编程基础与HTTP接口测试 Python编程基础入门教程书籍,29.30
【python版少儿编程】教孩子学编程(Python语言版)跟孩子一起学编程父与子的编程之旅玩转编程,54.04
疯狂Python讲义,68.40
数据科学导论：Python语言实现,38.70
人邮新书 Python数据科学手册 数据分析计算书籍 机器学习 NumPy数据存储 Ma,97.00
2本套 Python编程+网络爬虫入门书籍 Python程序设计书籍 网络爬虫从入门到精通,109.00
python基础教程 零基础学python3.5编程从入门到实践 精通计算机程序设计pathon核心,278.00
【包邮】精通Python爬虫框架Scrapy [美]迪米特里奥斯 考奇斯-劳卡斯(Dimitrio,35.40
趣学Python 教孩子学编程 中小学生儿童计算机语言编程入门教程书籍零基础学python计算,42.50
包邮 Python数据分析基础教程书籍  王斌会,33.80
正版 Python参考手册 第4版 修订版 [美]大卫 M.比兹利(David M.Bea,66.90
Python编程快速上手 让繁琐工作自动化 Python从入门到精通 Python编程书,39.80
包邮Python测试之道+自动化平台测试开发：Python测试开发实战,98.00
Python新手学Django 2.0架站的16堂课（第2版）+Python自动化运维快速入门,118.50
Python神经网络编程 深度学习人工智能系统机器学习入门教程书籍deep learning AI圣,39.00
Python从菜鸟到高手 李宁 9787302507161,74.24
【全2册】小天才学Python（教学指导）+小天才学Python 朱慧 小学生学Python语言入,59.90
机器学习：使用OpenCV和Python进行智能图像处理+深度学习实践:计算机视觉,114.00
Python程序设计基础教程,35.10
Python程序设计应用教程,42.90
Python语言实用教程,40.40
Python语言及其应用,31.80
跟着“小微”学Python,30.20
计算机科学丛书：Python计算与编程实践·多媒体方法（原书第2版）,54.40
Python程序设计与案例教程,31.70
Python语言程序设计,41.60
Python程序设计基础,35.10
Python硬件编程实战,33.80
基于Python的Google App Engine编程,81.00
Python程序设计基础,41.70
Python核心编程第3版 python开发大全 python入门到精通书籍 python,54.00
语料库与Python应用,38.60
Python程序设计教程（普通高等教育新工科人才培养规划教材（大数据专业））,26.10
量化投资与Python语言/21世纪经济管理精品教材·金融学系列,29.00
Python程序设计入门到实战,47.60
从Python新手到Django架站高手（套装共2册）,134.30
Python程序设计与实践：用计算思维解决问题,27.10
算法与程序设计基础（Python版）,31.50
Python 程序设计（21世纪高等学校计算机基础实用规划教材）,33.10
Python编程与问题求解/国外计算机科学经典教材,49.60
Python程序设计教程/高等学校计算机专业规划教材,31.60
Python基础编程与实践,46.00
Python基础教程,37.70
Python开发基础,33.80
Python程序设计：从编程基础到专业应用,35.70
Python文本分析,58.40
"""笨办法""学Python 3",41.90
正版现货 Web接口开发与自动化测试——基于Python语言 虫师 Python编程教程书,38.40
Python大学教程,32.70
Python社会媒体挖掘,54.50
深度强化学习原理与实践,82.90
包邮 【套装三册】Python程序员面试算法宝典+剑指Offer+数据库程序员面试笔试真题库,145.00
Python自然语言处理,57.90
Python基础教程 第3版 图灵程序设计丛书 编程新手入门 软件工具 python,62.00
流畅的Python  python进阶书籍 计算机编程语言 数据分析从入门到实践精通爬虫核心,89.00
Python数据挖掘入门与实践,46.60
Python物理学高效计算,87.10
Python爬虫开发与项目实战,57.90
Selenium自动化测试 基于Python语言 Web测试实战指南,35.80
Python微控制器编程从零开始 使用MicroPython,39.30
Python数据分析与应用 大数据云计算计算机书籍正版,39.80
Python网络数据爬取及分析从入门到精通（分析篇）,47.20
【正版包邮】 Python游戏编程入门 游戏开发 Python3爬虫数据分析编程教程 程序设计书籍,29.40
学习编程第一步 零基础上手Python开发,63.00
新版现货 零基础入门学习Python 第2版 小甲鱼李佳宇  python编程从入门到精通实践 pa,64.90
【正版】流畅的Python  python进阶书籍 计算机编程语言 数据分析从入门到实践爬虫核心编程,139.00
计算机科学导论 以Python为舟（第2版）/21世纪高等学校计算机专业实用规划教材,39.60
正版 零基础入门学习Python（第2版）微课视频版 计算机与互联网 编程语言与程序设计 小甲鱼,65.03
计算机科学丛书：Python语言程序设计,57.90
Python编程入门（第3版）,30.80
教孩子学编程Python语言版 零基础学编程 Python入门教程书籍 儿童编程语言启蒙书,58.00
包邮 对比Excel轻松学习Python数据分析+Python 3爬虫 数据清洗与可视化实战书籍,161.60
语料库语言学及Python实现,26.80
树莓派Python编程入门与实战（第2版）,60.70
Python测试驱动开发 使用Django Selenium和JavaScript进行Web编程,93.80
零起点Python足彩大数据与机器学习实盘分析,91.10
Python机器学习 第2版（影印版）,78.70
Python编程基础,31.40
零基础入门学习Python 小甲鱼计算机/网络 程序设计 零基础学编程基础学习教程,28.00
Python数据科学手册,79.60
Python游戏编程入门+C++游戏编程入门+游戏编程入门 全3册 游戏编程入门书籍,118.00
精通Python网络爬虫：核心技术、框架与项目实战,50.60
"Python Cookbook(中文版,第3版)",79.70
Python程序设计（第2版）/高等院校信息技术规划教材,39.60
2本 教孩子学编程 Python语言版+父与子的编程之旅 与小卡特一起学Python,91.40
利用Python进行数据分析 原书第2版,89.30
Python+Spark 2.0+Hadoop机器学习与大数据实战 大数据技术教程书籍,72.80
人工智能极简编程入门（基于Python）,60.70
Python核心编程第3版 python开发大全 python入门到精通书籍 python,54.00
Python编程 从入门到实践 python核心编程基础教程书籍 从入门到精通,61.90
2本 算法图解+数据结构 Python语言描述,84.30
包邮人人都懂设计模式 从生活中领悟设计模式（Python实现）罗伟富著,58.00
Python全栈数据工程师养成攻略（视频讲解版）,47.20
NLTK基础教程 用NLTK和Python库构建机器学习应用,43.10
包邮 小天才学Python+小天才学Python 教学指导 共2册 小学生学Python语言入门书籍,58.50
Head First Programming: A Learner's Guide to Programming Using the Python Language,521.80
包邮 包邮 疯狂Python讲义,87.20
包邮 教孩子学编程（Python语言版）+趣学Python——教孩子学编程2本书 儿童学计,91.00
Python机器学习,62.40
Python数字信号处理应用,32.40
